merchant_name,merchant_area,category,display,product,price,discount_price,isDiscount,description
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Signature,Hot Almara Kopi (kopi Susu Gula Aren),20000,,0,Sajian Kopi Susu Gula Aren Yang Berbeda Dari Khalayak Umum
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Signature,Ice Almara Kopi (kopi Susu Gula Aren),22000,,0,Sajian Kopi Susu Gula Aren Yang Berbeda Dari Khalayak Umum
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Signature,Hot Millsis,20000,,0,Sajian Susu Coklat Milo Dengan Racikan Khas 3 : 30 Kopi
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Signature,Ice Millsis,20000,,0,Sajian Susu Coklat Milo Dengan Racikan Khas 3 : 30 Kopi
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Signature,Hot Millbro,22000,,0,Sajian Susu Coklat Milo Plus Espresso Dengan Racikan Khas 3 : 30 Kopi
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Signature,Ice Millbro,22000,,0,Sajian Susu Coklat Milo Plus Espresso Dengan Racikan Khas 3 : 30 Kopi
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Signature,Hot 330 Helateh,15000,,0,Sajian Teh Tarik Segar Khas 3 : 30 Kopi
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Signature,Ice 330 Helateh,18000,,0,Sajian Teh Tarik Segar Khas 3 : 30 Kopi
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Signature,Hot Ilusi Kopi,23000,,0,Sajian Kopi Beraroma Rum Dengan Racikan Khas 3 : 30 Kopi
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Signature,Ice Ilusi Kopi,25000,,0,Sajian Kopi Beraroma Rum Dengan Racikan Khas 3 : 30 Kopi
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Signature,Kopi Jelly,20000,,0,
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Coffee,Hot Americano,18000,,0,Sajian Kopi Hitam Dengan Beans Pilihan (Arabica)
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Coffee,Ice Americano,20000,,0,Sajian Kopi Hitam Dengan Beans Pilihan (Arabica)
