merchant_area,main_category,jumlah_produk,jumlah_merchant,avg_harga,min_harga,max_harga,jumlah_diskon,persen_diskon
Jakarta,Aneka nasi,1170,20,34374.0,800.0,850000.0,86,7.4
Jakarta,Ayam & bebek,640,14,38897.0,500.0,300000.0,87,13.6
Jakarta,Bakmie,146,4,30125.0,6000.0,78000.0,28,19.2
Jakarta,Bakso & soto,115,2,20865.0,2000.0,60000.0,19,16.5
Jakarta,Barat,539,11,115748.0,1000.0,1980000.0,8,1.5
Jakarta,Cepat saji,1499,24,36339.0,500.0,610000.0,153,10.2
Jakarta,Chinese,6,1,34000.0,6000.0,48000.0,0,0.0
Jakarta,India,56,1,53126.0,18990.0,271910.0,16,28.6
Jakarta,Jajanan,1735,32,44402.0,100.0,1086000.0,150,8.6
Jakarta,Jepang,896,9,33375.0,800.0,650000.0,132,14.7
Jakarta,Kopi,984,16,39075.0,500.0,405000.0,84,8.5
Jakarta,Korea,174,6,52612.0,1.0,397320.0,5,2.9
Jakarta,Martabak,197,4,75559.0,15000.0,197450.0,11,5.6
Jakarta,Minuman,1703,35,31863.0,800.0,610000.0,156,9.2
Jakarta,Pizza & pasta,230,6,76110.0,5500.0,350000.0,23,10.0
Jakarta,Roti,1131,12,70102.0,1200.0,1086000.0,62,5.5
Jakarta,Sate,57,2,47701.0,6050.0,290000.0,0,0.0
Jakarta,Seafood,60,1,16924.0,2500.0,39263.0,0,0.0
Jakarta,Sweets,1204,21,112545.0,1200.0,1980000.0,9,0.7
Medan,Aneka nasi,2278,30,48619.0,1000.0,1980000.0,97,4.3
Medan,Ayam & bebek,1199,16,41082.0,2000.0,535000.0,26,2.2
Medan,Bakmie,164,3,14116.0,2000.0,75000.0,15,9.1
Medan,Bakso & soto,177,4,19023.0,5000.0,43500.0,0,0.0
Medan,Barat,183,6,34523.0,500.0,158940.0,36,19.7
Medan,Cepat saji,1249,24,32508.0,200.0,201000.0,80,6.4
Medan,Chinese,7,1,42857.0,30000.0,45000.0,0,0.0
Medan,India,19,1,40974.0,13000.0,69000.0,19,100.0
Medan,Jajanan,2037,43,37778.0,590.0,488000.0,60,2.9
Medan,Jepang,256,4,58299.0,600.0,495000.0,39,15.2
Medan,Kopi,1297,19,33833.0,3000.0,405000.0,60,4.6
Medan,Korea,209,5,41806.0,3000.0,239000.0,66,31.6
Medan,Martabak,217,2,57402.0,3977.0,197450.0,0,0.0
Medan,Minuman,2123,41,28020.0,2000.0,642000.0,64,3.0
Medan,Pizza & pasta,64,1,24625.0,7000.0,38000.0,0,0.0
Medan,Roti,1005,16,53464.0,1000.0,960700.0,26,2.6
Medan,Sate,15,1,123467.0,5000.0,360000.0,0,0.0
Medan,Seafood,441,7,53272.0,2500.0,300000.0,11,2.5
Medan,Sweets,131,4,65485.0,5000.0,437500.0,12,9.2
Medan,Thailand,45,1,19489.0,7000.0,55000.0,0,0.0
Surabaya,Aneka nasi,2046,35,70718.0,500.0,1980000.0,139,6.8
Surabaya,Ayam & bebek,865,18,30689.0,1000.0,201000.0,51,5.9
Surabaya,Bakmie,1070,14,23298.0,1500.0,178000.0,49,4.6
Surabaya,Bakso & soto,137,5,12322.0,1250.0,54000.0,6,4.4
Surabaya,Barat,363,7,46375.0,500.0,260000.0,90,24.8
Surabaya,Cepat saji,1000,21,30860.0,1000.0,201000.0,60,6.0
Surabaya,Chinese,456,8,45784.0,3000.0,350000.0,92,20.2
Surabaya,Jajanan,1821,46,23684.0,1.0,390000.0,60,3.3
Surabaya,Jepang,469,8,41019.0,2000.0,495000.0,52,11.1
Surabaya,Kopi,432,11,18782.0,1000.0,126000.0,24,5.6
Surabaya,Korea,78,2,43129.0,4000.0,111800.0,18,23.1
Surabaya,Martabak,169,3,47521.0,20000.0,99000.0,10,5.9
Surabaya,Minuman,2582,56,23865.0,1.0,275000.0,180,7.0
Surabaya,Pizza & pasta,51,2,87157.0,6000.0,270000.0,0,0.0
Surabaya,Roti,1738,20,61355.0,1100.0,1122000.0,20,1.2
Surabaya,Sate,78,2,30500.0,3000.0,180000.0,4,5.1
Surabaya,Seafood,310,6,64422.0,1.0,481250.0,79,25.5
Surabaya,Sweets,183,8,48171.0,1200.0,209000.0,10,5.5
Surabaya,Thailand,112,1,83170.0,18000.0,325000.0,3,2.7
Surabaya,Timur Tengah,30,1,25433.0,6000.0,68000.0,0,0.0
